function,snippets_using
s,632
slow,579
gain,168
room,124
lpf,101
scale,88
clip,84
note,81
add,71
range,65
release,65
fast,63
struct,61
voicing,58
delay,57
bank,49
pickRestart,44
speed,43
pianoroll,40
color,40
anchor,39
hpf,38
velocity,35
chord,34
pan,33
transpose,33
sometimes,31
sound,31
map,29
late,28
cutoff,28
layer,27
attack,27
fmap,27
withValue,27
isArray,24
mask,23
sustain,23
decay,23
pickOut,23
off,22
piano,22
cpm,22
superimpose,20
mul,20
sub,20
rev,19
degradeBy,19
forEach,19
mode,19
jux,18
lpenv,18
every,17
log,17
dict,17
segment,17
split,17
lpa,16
pick,16
ribbon,16
set,15
resonance,15
delaytime,14
early,13
stack,13
echo,12
slice,12
apply,12
n,12
midi,12
get,12
adsr,11
start,11
round,11
rootNotes,11
min,11
addEventListener,11
substring,11
voicings,10
connect,10
vib,10
lpq,10
end,10
filter,10
keys,10
innerJoin,10
rel,10
stop,9
div,9
outerJoin,9
patt,9
scaleTranspose,8
shape,8
delayfeedback,8
then,8
getElementById,8
abs,8
att,8
dfb,8
as,8
penv,8
gString,8
queryArc,7
rarely,7
echoWith,7
all,7
toString,7
withHap,7
euclid,7
dt,7
crush,6
chop,6
iter,6
reset,6
euclidLegato,6
begin,6
fill,6
error,6
floor,6
join,6
includes,6
push,6
dec,6
_pianoroll,6
show,5
tone,5
chain,5
osc,5
roomsize,5
lpd,5
postgain,5
sometimesBy,5
phaser,5
ply,5
endsWith,5
warn,5
arp,5
fromEntries,5
evaluate,5
concat,5
stringify,5
indexOf,5
clearRect,5
dist,5
lpe,5
vibmod,5
rsize,5
sortHapsByPart,4
fm,4
pow,4
hush,4
euclidLegatoRot,4
orbit,4
out,4
w,4
animate,4
h,4
entries,4
isActive,4
setCursorLocation,4
reconfigureExtension,4
dispatch,4
querySelector,4
reconfigure,4
setCode,4
setFontSize,4
flash,4
setFontFamily,4
getCursorLocation,4
replaceAll,4
setContext,4
flat,4
vmod,4
distort,4
now,4
bpf,3
restart,3
createGain,3
createOscillator,3
offset,3
cut,3
loopAt,3
y,3
zoom,3
play,3
invalidate,3
of,3
highest,3
getPainters,3
onDraw,3
create,3
drawFirstFrame,3
dispatchEvent,3
setDrawTime,3
markcss,3
random,3
removeEventListener,3
highlight,3
hasOnset,3
pickF,3
assign,3
replace,3
test,3
max,3
find,3
setValueAtTime,3
beginPath,3
cos,3
hasTag,3
moveTo,3
lineTo,3
stroke,3
sin,3
onPaint,3
_spectrum,3
exit,3
swing,3
repeat,3
scope,3
detune,3
chorus,3
startsWith,3
write,3
toFixed,3
whenmod,2
squeeze,2
ref,2
tune,2
ftype,2
v,2
palindrome,2
lastOf,2
r,2
nest,2
move,2
rescale,2
midiport,2
disconnect,2
values,2
freq,2
when,2
tonicize,2
isValidScale,2
loadScale,2
euclidRot,2
equals,2
spanEquals,2
assert,2
restartJoin,2
resetJoin,2
inhabit,2
squeezeJoin,2
Array,2
firstCycle,2
match,2
slowcat,2
fromSemitones,2
semitones,2
ceil,2
sign,2
append,2
setAttribute,2
createElement,2
ccn,2
createConstantSource,2
createBiquadFilter,2
_spiral,2
_pitchwheel,2
analyze,2
fillRect,2
getImageData,2
putImageData,2
draw,2
type,2
close,2
query,2
toscale,2
lpr,2
filterValues,2
seg,2
addeg,2
fmh,2
midichan,2
mykeys,2
euclidean,2
runTests,2
kill,2
startServer,2
parse,2
on,2
trim,2
sendRequest,2
cleanup,2
grain,1
drive,1
compress,1
ring,1
legato,1
toDestination,1
xen,1
duration,1
speak,1
onTrigger,1
getContext,1
webdirt,1
chunk,1
noise,1
size,1
fit,1
mix,1
lps,1
fanchor,1
hcutoff,1
csound,1
smear,1
deepimpose,1
x,1
angle,1
flipY,1
p,1
juxBy,1
withMiniLocation,1
simplify,1
tokenize,1
control,1
ccv,1
progNum,1
sysexid,1
sysexdata,1
sysex,1
midibend,1
miditouch,1
checkSequence,1
arc,1
sort,1
from,1
log2,1
tag,1
setPattern,1
callTool,1
withSpan,1
splitQueries,1
intersection,1
wholeCycle,1
enumerate,1
warp,1
pdec,1
collect,1
vowel,1
ati,1
fvi,1
loop,1
loopEnd,1
loopBegin,1
sus,1
fmwave,1
pkr,1
_scope,1
env,1
eq,1
requestMIDIAccess,1
label,1
cps,1
addmytempo,1
rebaser,1
at,1
pickmod,1
rem,1
markov,1
timeconv,1
hpa,1
hpd,1
hpe,1
trem,1
clearOsc,1
step,1
clearStepperMode,1
pause,1
spread,1
unison,1
bind,1
updateSettings,1
prebake,1
processHaps,1
init,1
valueOf,1
logValues,1
replaceCode,1
octdegfreq,1
octdeg,1
isInteger,1
octdegmidi,1
edoScale,1
has,1
setSteps,1
euclidish,1
wholeOrPart,1
lt,1
midpoint,1
setSpan,1
timeline,1
combineContext,1
withHaps,1
exec,1
initializeAudio,1
createReverb,1
cancelScheduledValues,1
connectToDestination,1
duck,1
createFeedbackDelay,1
sqrt,1
exponentialRampToValueAtTime,1
generate,1
fmenv,1
hpq,1
fmi,1
scheduleSpawn,1
update,1
press,1
writeFileSync,1
fmdecay,1
encode,1
catch,1
removeListener,1
setMaxListeners,1
once,1
